,股票,利率债,信用债,黄金,商品
原文-保守型(代码错配修正后等比),0.7664757947443811,0.00508436873601914,0.0,0.2284398365195997,0.0
原文-进取型,0.8850843159650478,0.014834094287054362,0.0,0.08591361294950152,0.014167976798396235
我的方案A-平衡型(真全天候),0.4795160059163324,0.13030702925955645,0.0008665012915699759,0.27287991674659856,0.1164305467859425
我的方案-保守型(重排),0.5091762617855267,0.055567028639407115,0.0,0.43525670957506624,0.0
我的方案-权益增强型,0.8834929479092969,-0.009928772817632128,-0.00017895526422385255,0.08412614467132146,0.042488635501237826
纯沪深300,1.0,0.0,0.0,0.0,0.0
经典60/40 (HS300+10Y国债),1.0085507306093138,-0.00855073060931373,0.0,0.0,0.0
AllSeasons字面照搬(中国版),0.8249835668058726,0.0830456058976199,0.0,0.05107420337050846,0.040896623925999104
保守-红利低波加重版,0.4157985536998425,0.050430480562893086,0.0,0.5337709657372643,0.0
平衡-A500替代沪深300,0.48486147203891683,0.12723290381717428,0.0008397140747096215,0.2714477380831031,0.11561817198609595
权益增强-不含gem50,0.8703336306309648,-0.009640844603707604,-0.00015224885999545913,0.09220516275894874,0.047254300073789474
