,方法A严格ERC,方法B-4桶ERC,方法C-桶等权
hs300,0.009377065345553976,0.00764491698588572,0.11814145900281953
div_idx,0.009208095581687526,0.006200513165455414,0.13185854099718047
bond_10y,0.08242833460310023,0.06757173373853097,0.18954468548786252
bond_30y,0.02727436956752069,0.013545001752515065,0.06045531451213748
bond_short,0.8366849932939797,0.8931685497447844,0.25
gold,0.012465363805017813,0.0,0.08892377058199065
nonferr,0.011733291150751272,2.2805127689911878e-07,0.08701345903091545
soymeal,0.010828486652388806,0.011869056561551532,0.07406277038709393
合计,1.0,1.0,1.0
