,ann,vol,mdd,sharpe,calmar
原文-保守型(代码错配修正后等比),0.04051038584372213,0.030777325824289978,-0.02825529173346042,1.316241250945547,1.4337273961234316
原文-进取型,0.07267528138727397,0.08034550396691834,-0.09497193006836191,0.9045345140556649,0.7652290664721824
我的方案A-平衡型(真全天候),0.08315860258082042,0.04403621856684084,-0.030727585930508172,1.8884137940817343,2.7063174688987077
我的方案-保守型(重排),0.057041702844815356,0.033079797168108195,-0.024165895346452082,1.7243667654591464,2.360421661479633
我的方案-权益增强型,0.06822161245209402,0.08248372100985189,-0.09069056004390286,0.8270918384482873,0.7522460156720641
纯沪深300,-0.0059220140612522565,0.17945937381442545,-0.45602619548225365,-0.03299919048740283,-0.0129861269372687
经典60/40 (HS300+10Y国债),0.01806781625467435,0.10576674759274425,-0.25365308238028605,0.170827000601783,0.07123042261156683
AllSeasons字面照搬(中国版),0.06699614988180125,0.056738314398372756,-0.05049457398843926,1.1807920378354186,1.3267989922469694
保守-红利低波加重版,0.06957311565292823,0.039508676731321336,-0.03639865689751132,1.7609578808741189,1.9114198594972098
平衡-A500替代沪深300,0.08465586759115995,0.04429622665377039,-0.030500131080184567,1.911130450294331,2.77559028741878
权益增强-不含gem50,0.0633003546145452,0.07892052405433615,-0.09406386608659623,0.8020772210149467,0.6729508072342061
