,2020,2021,2022,2023,2024,2025
原文-保守型(代码错配修正后等比),0.01057811883299653,0.016262853579579684,-0.0061302894070561775,0.02268364546035695,0.08393537193814571,0.08746312195947281
原文-进取型,-0.005636120449978521,0.08509317174426534,-0.03212226793938766,0.03840790464975452,0.15347531602031772,0.15319548230403401
我的方案A-平衡型(真全天候),0.009690866422199518,0.06672366731981993,0.04964407466402765,0.0707444689951715,0.14606637628666075,0.0939351662958352
我的方案-保守型(重排),-0.0015109873385634742,0.03167481427130436,0.012359118839517791,0.04800069861473433,0.11480250137201464,0.09656451597458848
我的方案-权益增强型,0.03291813174541036,0.03478322323945893,-0.026048151786408735,0.007877128221146279,0.1458777227423116,0.17402504383158202
纯沪深300,0.09118615051461476,-0.05198637035865594,-0.21632759307849947,-0.11378244947740346,0.1468332405548045,0.1766314409652454
经典60/40 (HS300+10Y国债),0.05617358762662672,-0.0082772662484768,-0.11976424432008326,-0.049361097183796554,0.12865307249016866,0.10996956688607162
AllSeasons字面照搬(中国版),0.033820963232175316,0.05454748332244197,-0.0037479900945045497,0.03491230115254673,0.1540340778797633,0.08160778951223113
保守-红利低波加重版,-0.01869036158338855,0.04413762703697954,0.03634858702652455,0.07343584235390188,0.12956844640585152,0.10353291879988924
平衡-A500替代沪深300,0.008910610874871994,0.07300099775891922,0.048474153782934515,0.07086455131931357,0.14455519593889998,0.0988051385277704
权益增强-不含gem50,0.03219415960200256,0.02235893576056025,-0.021627350292084735,0.015094739692984804,0.1409878036040766,0.15224985577673422
